node_id,r_m,z_m,T_K
403,0.015,0.08,564.700161
404,0.02,0.08,564.6986975
405,0.025,0.08,564.6968285
406,0.03,0.08,564.6944767
407,0.035,0.08,564.691805
408,0.04,0.08,564.6882088
409,0.045,0.08,564.685223
410,0.05,0.08,564.6766703
411,0.055,0.08,525.572942
412,0.06,0.08,490.1933396
413,0.065,0.08,458.2039556
414,0.07,0.08,429.2542772
415,0.075,0.08,402.9905666
416,0.08,0.08,379.0478266
417,0.085,0.08,357.0857435
418,0.09,0.08,336.7796146
419,0.095,0.08,317.8409414
420,0.1,0.08,300.0069084
421,0.105,0.08,300.0038818
422,0.11,0.08,300.0026654
423,0.115,0.08,300.0012379
424,0.12,0.08,300
425,0,0.085,564.7035489
426,0.005,0.085,564.7033406
427,0.01,0.085,564.7027167
428,0.015,0.085,564.701673
429,0.02,0.085,564.700211
430,0.025,0.085,564.6983196
431,0.03,0.085,564.6960268
432,0.035,0.085,564.6932554
433,0.04,0.085,564.690299
434,0.045,0.085,564.6863954
435,0.05,0.085,564.6846261
436,0.055,0.085,526.2293433
437,0.06,0.085,491.3489188
438,0.065,0.085,459.6623016
439,0.07,0.085,430.8185729
440,0.075,0.085,404.4931255
441,0.08,0.085,380.3611646
442,0.085,0.085,358.1225993
443,0.09,0.085,337.4874384
444,0.095,0.085,318.1959018
445,0.1,0.085,300.0048035
446,0.105,0.085,300.0040726
447,0.11,0.085,300.0025589
448,0.115,0.085,300.0012785
449,0.12,0.085,300
450,0,0.09,564.7046369
451,0.005,0.09,564.7044292
452,0.01,0.09,564.7038001
453,0.015,0.09,564.7027531
454,0.02,0.09,564.7012783
455,0.025,0.09,564.6993912
456,0.03,0.09,564.69703
457,0.035,0.09,564.6943442
458,0.04,0.09,564.6907433
459,0.045,0.09,564.6877494
460,0.05,0.09,564.6791986
461,0.055,0.09,526.6397295
462,0.06,0.09,492.0770723
463,0.065,0.09,460.5922493
464,0.07,0.09,431.8288046
465,0.075,0.09,405.474771
466,0.08,0.09,381.2280615
467,0.085,0.09,358.8124026
468,0.09,0.09,337.9614194
469,0.095,0.09,318.4340651
470,0.1,0.09,300.0072563
471,0.105,0.09,300.0040733
472,0.11,0.09,300.0027961
473,0.115,0.09,300.001298
474,0.12,0.09,300
475,0,0.095,564.7052911
476,0.005,0.095,564.7050812
477,0.01,0.095,564.7044515
478,0.015,0.095,564.7034003
479,0.02,0.095,564.7019294
480,0.025,0.095,564.7000296
481,0.03,0.095,564.6977287
482,0.035,0.095,564.6949509
483,0.04,0.095,564.6919893
